ID,CURRENT_APPLICATION_NUMBER,CURRENT_INSTITUTE_NAME,INSTI_STATE,INSTITUTE_DISTRICT,INST_TYPE,PROGRAMME,AFFILIATING_UNIVERSITY,LEVEL_OF_COURSE,COURSE,ACCREDITATION_STATUS,ACCREDITATION_TYPE,ACCREDITATION_TILL,APPROVED_INTAKE
573,1-9322395546,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
574,1-9322395546,MOHAMED SATHAK ENGINEERING COLLEGE,Tamil Nadu,RAMANATHAPURAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,120
575,1-9320111010,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Siksha ?O? Anusandhan, Bhubaneswar",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,90
576,1-9320111010,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Siksha ?O? Anusandhan, Bhubaneswar",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,1500
577,1-9320111010,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Siksha ?O? Anusandhan, Bhubaneswar",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
578,1-9320111010,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Siksha ?O? Anusandhan, Bhubaneswar",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2022,120
579,1-9320111010,SIKSHA O ANUSANDHAN,Odisha,KHORDHA,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Siksha ?O? Anusandhan, Bhubaneswar",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,90
580,1-9320349252,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,120
581,1-9320349252,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHATRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
582,1-9320349252,SRI KRISHNA COLLEGE OF ENGINEERING AND TECHNOLOGY,Tamil Nadu,COIMBATORE,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,60
583,1-9320424218,GOVERNMENT COLLEGE OF ENGINEERING JALGAON M S ,Maharashtra,JALGAON,Government,ENGINEERING AND TECHNOLOGY,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",UNDER GRADUATE,INSTRUMENTATION ENGINEERING,ACCREDITED,NBA,30-06-2021,60
584,1-9320424218,GOVERNMENT COLLEGE OF ENGINEERING JALGAON M S ,Maharashtra,JALGAON,Government,ENGINEERING AND TECHNOLOGY,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
585,1-9320483597,THE NATIONAL INSTITUTE OF ENGINEERING,Karnataka,MYSORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
586,1-9320483597,THE NATIONAL INSTITUTE OF ENGINEERING,Karnataka,MYSORE,Govt aided,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",POST GRADUATE,STRUCTURAL ENGINEERING,ACCREDITED,NBA,30-06-2022,18
587,1-9322154330,SANJIVANI RURAL EDUCATION SOCIETY S SANJIVANI COLLEGE OF ENGINEERING,Maharashtra,AHMEDNAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
588,1-9322154330,SANJIVANI RURAL EDUCATION SOCIETY S SANJIVANI COLLEGE OF ENGINEERING,Maharashtra,AHMEDNAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,COMPUTER ENGINEERING,ACCREDITED,NBA,30-06-2023,120
589,1-9322154330,SANJIVANI RURAL EDUCATION SOCIETY S SANJIVANI COLLEGE OF ENGINEERING,Maharashtra,AHMEDNAGAR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"University of Pune, Pune",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
590,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,240
591,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,240
592,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,180
593,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,BIOMEDICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
594,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
595,1-9322336008,PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY DINDIGUL,Tamil Nadu,DINDIGUL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Anna University, Chennai",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
596,1-9322399385,TECHNOCRATS INSTITUTE OF TECHNOLOGY,Madhya Pradesh,BHOPAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
597,1-9322399385,TECHNOCRATS INSTITUTE OF TECHNOLOGY,Madhya Pradesh,BHOPAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,120
598,1-9322399385,TECHNOCRATS INSTITUTE OF TECHNOLOGY,Madhya Pradesh,BHOPAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rajiv Gandhi Proudyogiki Vishwavidyalaya, Bhopal",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
599,1-9320288223,RAMACHANDRA COLLEGE OF ENGINEERING,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
600,1-9320288223,RAMACHANDRA COLLEGE OF ENGINEERING,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,180
601,1-9320288223,RAMACHANDRA COLLEGE OF ENGINEERING,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
602,1-9322274226,TRIDENT ACADEMY OF TECHNOLOGY,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,60
603,1-9322274226,TRIDENT ACADEMY OF TECHNOLOGY,Odisha,KHORDHA,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Biju Patnaik University of Technology, Bhubaneswar",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
604,1-9322339703,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,Delhi,WEST DELHI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Guru Gobind Singh Indraprastha University, Delhi",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,60
605,1-9322339703,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,Delhi,WEST DELHI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Guru Gobind Singh Indraprastha University, Delhi",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
606,1-9322339703,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,Delhi,WEST DELHI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Guru Gobind Singh Indraprastha University, Delhi",UNDER GRADUATE,MECHANICAL AND AUTOMATION ENGINEERING,ACCREDITED,NBA,30-06-2021,60
607,1-9322339703,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,Delhi,WEST DELHI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Guru Gobind Singh Indraprastha University, Delhi",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,60
608,1-9322339703,MAHARAJA AGRASEN INSTITUTE OF TECHNOLOGY,Delhi,WEST DELHI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Guru Gobind Singh Indraprastha University, Delhi",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
609,1-9322344627,IES S MANAGEMENT COLLEGE AND RESEARCH CENTRE,Maharashtra,MUMBAI SUBURBAN,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,PGDM,ACCREDITED,NBA,30-06-2022,210
610,1-9322407667,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2022,180
611,1-9322407667,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2022,180
612,1-9322407667,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
613,1-9322407667,BALAJI INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,WARANGAL,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
614,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
615,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,120
616,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
617,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
618,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,180
619,1-9320117637,GMR INSTITUTE OF TECHNOLOGY,Andhra Pradesh,SRIKAKULAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
620,1-9320293136,GREEN HEAVEN INSTITUTE OF MANAGEMENT RESEARCH,Maharashtra,NAGPUR,Private-Self Financing,MANAGEMENT,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",POST GRADUATE,MBA,ACCREDITED,NBA,15-07-2024,120
621,1-9320364251,A D PATEL INSTITUTE OF TECHNOLOGY,Gujarat,ANAND,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"The Charutar Vidya Mandal (CVM) University, Vallabh Vidyanagar",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2022,120
622,1-9320364251,A D PATEL INSTITUTE OF TECHNOLOGY,Gujarat,ANAND,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"The Charutar Vidya Mandal (CVM) University, Vallabh Vidyanagar",UNDER GRADUATE,FOOD PROCESSING TECHNOLOGY,ACCREDITED,NBA,30-06-2022,60
623,1-9320364251,A D PATEL INSTITUTE OF TECHNOLOGY,Gujarat,ANAND,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"The Charutar Vidya Mandal (CVM) University, Vallabh Vidyanagar",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,30
624,1-9320364251,A D PATEL INSTITUTE OF TECHNOLOGY,Gujarat,ANAND,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"The Charutar Vidya Mandal (CVM) University, Vallabh Vidyanagar",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
625,1-9320491750,INTERNATIONAL INSTITUTE OF HEALTH MANAGEMENT RESEARCH,Delhi,WEST DELHI,Private-Self Financing,MANAGEMENT,None,POST GRADUATE DIPLOMA,POST GRADUATE DIPLOMA IN MANAGEMENT (HOSPITAL AND HEALTH MANAGEMENT),ACCREDITED,NBA,30-06-2021,180
626,1-9320491903,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,DHARWAD,State Private University,ENGINEERING AND TECHNOLOGY,KLE Technological University Hubballi,UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2022,120
627,1-9320491903,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,DHARWAD,State Private University,ENGINEERING AND TECHNOLOGY,KLE Technological University Hubballi,UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,180
628,1-9320491903,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,DHARWAD,State Private University,ENGINEERING AND TECHNOLOGY,KLE Technological University Hubballi,UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,300
629,1-9320491903,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,DHARWAD,State Private University,ENGINEERING AND TECHNOLOGY,KLE Technological University Hubballi,UNDER GRADUATE,ELECTRONICS AND COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2023,300
630,1-9320491903,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,DHARWAD,State Private University,ENGINEERING AND TECHNOLOGY,KLE Technological University Hubballi,UNDER GRADUATE,BIOTECHNOLOGY,ACCREDITED,NBA,30-06-2023,60
631,1-9320123014,G H G KHALSA COLLEGE OF PHARMACY,Punjab,LUDHIANA,Private-Self Financing,PHARMACY,"Punjab Technical University, Jalandhar",UNDER GRADUATE,PHARMACY,ACCREDITED,NBA,30-06-2022,100
632,1-9320181581,VEL TECH RANGARAJAN DR SAGUNTHALA R AND D INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Sceince & Technology, Chennai",UNDER GRADUATE,COMPUTER SCIENCE & ENGINEERING,ACCREDITED,NBA,30-06-2021,960
633,1-9320181581,VEL TECH RANGARAJAN DR SAGUNTHALA R AND D INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Sceince & Technology, Chennai",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
634,1-9320181581,VEL TECH RANGARAJAN DR SAGUNTHALA R AND D INSTITUTE OF SCIENCE AND TECHNOLOGY,Tamil Nadu,THIRUVALLUR,Deemed to be University(Pvt),ENGINEERING AND TECHNOLOGY,"Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Sceince & Technology, Chennai",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGINEERING,ACCREDITED,NBA,30-06-2021,570
635,1-9322414969,MALLA REDDY INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,180
636,1-9322414969,MALLA REDDY INSTITUTE OF TECHNOLOGY SCIENCE,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
637,1-9322416338,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
638,1-9322416338,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,240
639,1-9322416338,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
640,1-9322416338,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,240
641,1-9322416338,VIDYA JYOTHI INSTITUTE OF TECHNOLOGY,Telangana,RANGAREDDI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Hyderabad",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,180
642,1-9322469979,NEW HORIZON COLLEGE OF ENGINEERING E T ,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
643,1-9322469979,NEW HORIZON COLLEGE OF ENGINEERING E T ,Karnataka,BANGALORE URBAN,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Visvesvaraya?Technological University, Belgaum",UNDER GRADUATE,INFORMATION SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,180
644,1-9320440534,VEER SURENDRA SAI UNIVERSITY OF TECHNOLOGY BURLA,Odisha,SAMBALPUR,Govt aided,ENGINEERING AND TECHNOLOGY,"Veer Surendra Sai University of Technology, Burla",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,120
645,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,240
646,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS AND COMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,240
647,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,180
648,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2023,300
649,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2023,180
650,1-9322018878,SAGI RAMAKRISHNAM RAJU ENGINEERING COLLEGE,Andhra Pradesh,WEST GODAVARI,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2023,240
651,1-9322357273,QIS COLLEGE OF ENGINEERING TECHNOLOGY,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRONICS & COMMUNICATION ENGG,ACCREDITED,NBA,30-06-2021,240
652,1-9322357273,QIS COLLEGE OF ENGINEERING TECHNOLOGY,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,COMPUTER SCIENCE AND ENGINEERING,ACCREDITED,NBA,30-06-2021,300
653,1-9322357273,QIS COLLEGE OF ENGINEERING TECHNOLOGY,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,ELECTRICAL AND ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2021,120
654,1-9322357273,QIS COLLEGE OF ENGINEERING TECHNOLOGY,Andhra Pradesh,PRAKASAM,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Jawaharlal Nehru Technological University, Kakinada",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2021,60
655,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,ELECTRICAL ENGINEERING,ACCREDITED,NBA,30-06-2022,60
656,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,ELECTRONICS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
657,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,ELECTRONICS AND TELECOMMUNICATIONS ENGINEERING,ACCREDITED,NBA,30-06-2023,60
658,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,INFORMATION TECHNOLOGY,ACCREDITED,NBA,30-06-2021,180
659,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,CIVIL ENGINEERING,ACCREDITED,NBA,30-06-2021,90
660,1-9322420002,G H RAISONI COLLEGE OF ENGINEERING NAGPUR ,Maharashtra,NAGPUR,Private-Self Financing,ENGINEERING AND TECHNOLOGY,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",UNDER GRADUATE,MECHANICAL ENGINEERING,ACCREDITED,NBA,30-06-2023,90
